Month,Statistics: (United States)
2004-01,72
2004-02,83
2004-03,85
2004-04,91
2004-05,78
2004-06,60
2004-07,60
2004-08,57
2004-09,72
2004-10,84
2004-11,86
2004-12,66
2005-01,64
2005-02,71
2005-03,75
2005-04,81
2005-05,73
2005-06,56
2005-07,53
2005-08,51
2005-09,67
2005-10,74
2005-11,76
2005-12,62
2006-01,61
2006-02,68
2006-03,66
2006-04,71
2006-05,62
2006-06,47
2006-07,41
2006-08,44
2006-09,57
2006-10,67
2006-11,65
2006-12,52
2007-01,50
2007-02,55
2007-03,56
2007-04,60
2007-05,56
2007-06,45
2007-07,42
2007-08,44
2007-09,54
2007-10,59
2007-11,60
2007-12,53
2008-01,46
2008-02,50
2008-03,53
2008-04,60
2008-05,48
2008-06,39
2008-07,39
2008-08,38
2008-09,50
2008-10,57
2008-11,60
2008-12,51
2009-01,44
2009-02,54
2009-03,55
2009-04,63
2009-05,52
2009-06,42
2009-07,42
2009-08,41
2009-09,57
2009-10,62
2009-11,66
2009-12,55
2010-01,50
2010-02,57
2010-03,57
2010-04,64
2010-05,55
2010-06,43
2010-07,38
2010-08,37
2010-09,48
2010-10,54
2010-11,54
2010-12,45
2011-01,46
2011-02,50
2011-03,49
2011-04,54
2011-05,48
2011-06,40
2011-07,37
2011-08,39
2011-09,52
2011-10,54
2011-11,52
2011-12,47
2012-01,48
2012-02,50
2012-03,49
2012-04,55
2012-05,49
2012-06,41
2012-07,39
2012-08,39
2012-09,47
2012-10,49
2012-11,51
2012-12,48
2013-01,46
2013-02,45
2013-03,44
2013-04,51
2013-05,44
2013-06,38
2013-07,37
2013-08,37
2013-09,49
2013-10,54
2013-11,51
2013-12,47
2014-01,43
2014-02,46
2014-03,44
2014-04,50
2014-05,44
2014-06,37
2014-07,38
2014-08,37
2014-09,50
2014-10,54
2014-11,52
2014-12,50
2015-01,45
2015-02,45
2015-03,48
2015-04,49
2015-05,45
2015-06,38
2015-07,37
2015-08,36
2015-09,53
2015-10,56
2015-11,62
2015-12,52
2016-01,47
2016-02,46
2016-03,46
2016-04,47
2016-05,46
2016-06,39
2016-07,37
2016-08,34
2016-09,50
2016-10,51
2016-11,24
2016-12,18
2017-01,18
2017-02,23
2017-03,22
2017-04,29
2017-05,27
2017-06,13
2017-07,12
2017-08,14
2017-09,19
2017-10,23
2017-11,21
2017-12,17
2018-01,16
2018-02,25
2018-03,31
2018-04,33
2018-05,32
2018-06,23
2018-07,25
2018-08,25
2018-09,29
2018-10,40
2018-11,50
2018-12,48
2019-01,47
2019-02,46
2019-03,44
2019-04,47
2019-05,45
2019-06,38
2019-07,37
2019-08,39
2019-09,51
2019-10,52
2019-11,53
2019-12,54
2020-01,50
2020-02,49
2020-03,60
2020-04,72
2020-05,52
2020-06,49
2020-07,47
2020-08,43
2020-09,56
2020-10,54
2020-11,46
2020-12,49
2021-01,49
2021-02,48
2021-03,45
2021-04,50
2021-05,48
2021-06,44
2021-07,40
2021-08,42
2021-09,45
2021-10,49
2021-11,53
2021-12,50
2022-01,63
2022-02,61
2022-03,64
2022-04,64
2022-05,52
2022-06,45
2022-07,42
2022-08,44
2022-09,56
2022-10,67
2022-11,64
2022-12,70
2023-01,73
2023-02,72
2023-03,69
2023-04,69
2023-05,66
2023-06,50
2023-07,46
2023-08,50
2023-09,65
2023-10,78
2023-11,100
