Month,statistics: (United States)
2004-01,78
2004-02,93
2004-03,91
2004-04,100
2004-05,80
2004-06,63
2004-07,62
2004-08,60
2004-09,75
2004-10,88
2004-11,96
2004-12,70
2005-01,64
2005-02,75
2005-03,80
2005-04,92
2005-05,78
2005-06,57
2005-07,50
2005-08,49
2005-09,65
2005-10,75
2005-11,77
2005-12,59
2006-01,58
2006-02,67
2006-03,65
2006-04,72
2006-05,63
2006-06,45
2006-07,39
2006-08,40
2006-09,53
2006-10,60
2006-11,63
2006-12,47
2007-01,48
2007-02,54
2007-03,57
2007-04,58
2007-05,52
2007-06,42
2007-07,39
2007-08,37
2007-09,51
2007-10,57
2007-11,57
2007-12,46
2008-01,43
2008-02,49
2008-03,47
2008-04,56
2008-05,43
2008-06,37
2008-07,32
2008-08,30
2008-09,44
2008-10,48
2008-11,55
2008-12,43
2009-01,39
2009-02,48
2009-03,50
2009-04,56
2009-05,45
2009-06,35
2009-07,35
2009-08,32
2009-09,45
2009-10,54
2009-11,56
2009-12,44
2010-01,42
2010-02,48
2010-03,52
2010-04,56
2010-05,47
2010-06,34
2010-07,29
2010-08,27
2010-09,36
2010-10,43
2010-11,46
2010-12,35
2011-01,37
2011-02,43
2011-03,42
2011-04,47
2011-05,40
2011-06,29
2011-07,25
2011-08,26
2011-09,37
2011-10,40
2011-11,42
2011-12,34
2012-01,33
2012-02,40
2012-03,38
2012-04,43
2012-05,37
2012-06,25
2012-07,25
2012-08,24
2012-09,33
2012-10,35
2012-11,37
2012-12,33
2013-01,32
2013-02,34
2013-03,34
2013-04,39
2013-05,33
2013-06,22
2013-07,23
2013-08,22
2013-09,30
2013-10,34
2013-11,36
2013-12,27
2014-01,27
2014-02,32
2014-03,32
2014-04,36
2014-05,30
2014-06,23
2014-07,21
2014-08,21
2014-09,30
2014-10,34
2014-11,33
2014-12,28
2015-01,26
2015-02,31
2015-03,32
2015-04,37
2015-05,29
2015-06,21
2015-07,21
2015-08,20
2015-09,29
2015-10,33
2015-11,33
2015-12,28
2016-01,25
2016-02,29
2016-03,29
2016-04,30
2016-05,25
2016-06,19
2016-07,20
2016-08,18
2016-09,28
2016-10,28
2016-11,29
2016-12,21
2017-01,25
2017-02,29
2017-03,29
2017-04,29
2017-05,26
2017-06,17
2017-07,17
2017-08,17
2017-09,24
2017-10,30
2017-11,28
2017-12,21
2018-01,22
2018-02,29
2018-03,26
2018-04,28
2018-05,24
2018-06,16
2018-07,16
2018-08,18
2018-09,23
2018-10,26
2018-11,25
2018-12,20
2019-01,21
2019-02,24
2019-03,22
2019-04,25
2019-05,22
2019-06,16
2019-07,15
2019-08,17
2019-09,21
2019-10,22
2019-11,20
2019-12,18
2020-01,19
2020-02,24
2020-03,33
2020-04,34
2020-05,25
2020-06,27
2020-07,23
2020-08,19
2020-09,24
2020-10,21
2020-11,18
2020-12,15
2021-01,15
2021-02,18
2021-03,17
2021-04,18
2021-05,15
2021-06,13
2021-07,12
2021-08,14
2021-09,17
2021-10,16
2021-11,15
2021-12,14
2022-01,17
2022-02,20
2022-03,18
2022-04,21
2022-05,19
2022-06,14
2022-07,13
2022-08,14
2022-09,19
2022-10,19
2022-11,18
2022-12,15
2023-01,17
2023-02,20
2023-03,19
2023-04,19
2023-05,17
2023-06,12
2023-07,12
2023-08,13
2023-09,18
2023-10,19
2023-11,18
